   0.211  -0.095  320.84  546.42 2.071  17034.74   -485.94 99.999 99.999 99.999  9.434  9.339 99.999 99.999 99.999  0.124 99.999 99.999 99.999 99.999  99.999  99.999  99.999  99.999  0.005  0.005  0.019  0.008  0.038  0.016    8    7 99.999 99.999   99  19.324085608 -21.426443671  8 18 40.60 1992  6  9 2448782.84630324     2  Clear                 09069216.net.fits                                  Netuno                 770  1152     1   0.000   0.000 -0.065 -0.043  3.14509975 19.324080122 -21.426429266
   0.229  -0.106  321.03  547.73 2.041  11757.28   -378.46 99.999 99.999 99.999  9.441  9.343 99.999 99.999 99.999  0.153 99.999 99.999 99.999 99.999  99.999  99.999  99.999  99.999  0.005  0.005  0.018  0.015  0.032  0.027    7    6 99.999 99.999   99  19.324084695 -21.426449000  8 19 49.15 1992  6  9 2448782.84709664     2  Clear                 09069217.net.fits                                  Netuno                 770  1152     1   0.000   0.000 -0.049 -0.053  3.16419440 19.324079160 -21.426434391
   0.130   0.010  484.34  547.57 2.316  15622.28    -84.68 99.999 99.999 99.999  8.764  8.964 99.999 99.999 99.999  0.201 99.999 99.999 99.999 99.999  99.999  99.999  99.999  99.999  0.007  0.007  0.011  0.010  0.052  0.048   43   28 99.999 99.999   99  19.322618609 -21.429179534  6  9 35.81 1992  6 10 2448783.75666447     2  Clear                 10069201.net.fits                                  Netuno                 770  1152     1   0.000   0.000  0.053  0.020  1.05505594 19.322617081 -21.429176817
   0.095   0.010  484.75  548.83 2.488  13322.19   -192.34 99.999 99.999 99.999  8.678  8.846 99.999 99.999 99.999  0.216 99.999 99.999 99.999 99.999  99.999  99.999  99.999  99.999  0.006  0.006  0.012  0.011  0.059  0.055   41   32 99.999 99.999   99  19.322616562 -21.429181910  6 10 47.09 1992  6 10 2448783.75748947     2  Clear                 10069202.net.fits                                  Netuno                 770  1152     1   0.000   0.000  0.017  0.020  1.07491220 19.322615004 -21.429179149
   0.050  -0.061  485.25  546.91 2.390  13388.93   -193.72 99.999 99.999 99.999  8.738  8.884 99.999 99.999 99.999  0.220 99.999 99.999 99.999 99.999  99.999  99.999  99.999  99.999  0.004  0.004  0.008  0.010  0.043  0.055   42   35 99.999 99.999   99  19.322614528 -21.429203503  6 11 46.60 1992  6 10 2448783.75817824     2  Clear                 10069203.net.fits                                  Netuno                 770  1152     1   0.000   0.000 -0.030 -0.051  1.09148998 19.322612945 -21.429200704
   0.045  -0.090  485.45  548.23 2.398  11631.27   -150.09 99.999 99.999 99.999  8.726  8.929 99.999 99.999 99.999  0.192 99.999 99.999 99.999 99.999  99.999  99.999  99.999  99.999  0.006  0.006  0.012  0.012  0.056  0.056   41   29 99.999 99.999   99  19.322613395 -21.429213740  6 12 39.74 1992  6 10 2448783.75879329     2  Clear                 10069204.net.fits                                  Netuno                 770  1152     1   0.000   0.000 -0.036 -0.080  1.10629272 19.322611790 -21.429210907
   0.022  -0.033  455.76  402.34 2.489   5014.23    -57.56 99.999 99.999 99.999  8.797  8.920 99.999 99.999 99.999  0.214 99.999 99.999 99.999 99.999  99.999  99.999  99.999  99.999  0.005  0.005  0.015  0.015  0.059  0.062   37   28 99.999 99.999   99  19.322606039 -21.429210385  6 18 40.12 1992  6 10 2448783.76296435     2  Clear                 10069205.net.fits                                  Netuno                 770  1152     1   0.000   0.000 -0.066 -0.022  1.20667960 19.322604280 -21.429207305
   0.094  -0.067  455.76  401.51 2.460   9853.93   -169.42 99.999 99.999 99.999  8.727  8.893 99.999 99.999 99.999  0.205 99.999 99.999 99.999 99.999  99.999  99.999  99.999  99.999  0.009  0.009  0.010  0.013  0.047  0.065   47   38 99.999 99.999   99  19.322606490 -21.429221505  6 19 31.53 1992  6 10 2448783.76355937     2  Clear                 10069207.net.fits                                  Netuno                 770  1152     1   0.000   0.000  0.004 -0.056  1.22099872 19.322604709 -21.429218388
   0.073  -0.029  456.66  401.22 2.397  11409.17     -9.08 99.999 99.999 99.999  8.712  8.870 99.999 99.999 99.999  0.203 99.999 99.999 99.999 99.999  99.999  99.999  99.999  99.999  0.005  0.005  0.010  0.012  0.049  0.059   46   36 99.999 99.999   99  19.322603668 -21.429215359  6 21 36.22 1992  6 10 2448783.76500255     2  Clear                 10069206.net.fits                                  Netuno                 770  1152     1   0.000   0.000 -0.019 -0.017  1.25573270 19.322601834 -21.429212150
   0.062  -0.049  483.16  551.71 2.424  12887.26    -74.86 99.999 99.999 99.999  8.733  8.907 99.999 99.999 99.999  0.214 99.999 99.999 99.999 99.999  99.999  99.999  99.999  99.999  0.004  0.004  0.010  0.009  0.052  0.048   41   33 99.999 99.999   99  19.322601812 -21.429223846  6 23  2.24 1992  6 10 2448783.76599815     2  Clear                 10069208.net.fits                                  Netuno                 770  1152     1   0.000   0.000 -0.032 -0.037  1.27969438 19.322599941 -21.429220572
