  0.069  0.034 2454353.50485505 196.96 E 
  0.077  0.046 2454353.50599227 196.96 E 
  0.065  0.044 2454353.50712475 196.96 E 
  0.048  0.049 2454353.50826001 196.96 E 
  0.037  0.036 2454353.50938890 196.96 E 
 -0.004  0.022 2454353.51051327 196.96 E 
  0.019  0.017 2454353.51164703 196.96 E 
  0.008  0.013 2454353.51293327 196.96 E 
  0.014  0.009 2454353.51406459 196.96 E 
  0.067  0.018 2454620.70732523 306.82 E 
  0.105  0.059 2454620.71154717 306.82 E 
  0.047  0.002 2454620.71475645 306.82 E 
 -0.200 -0.283 2454971.91656241 154.26 E 
 -0.180 -0.257 2454971.91773082 154.26 E 
 -0.179 -0.267 2454971.91888314 154.26 E 
 -0.201 -0.255 2454971.92004507 154.27 E 
 -0.164 -0.226 2454971.92234266 154.27 E 
 -0.193 -0.255 2454971.92347137 154.27 E 
 -0.197 -0.279 2454971.92578064 154.27 E 
 -0.149 -0.248 2454971.92694095 154.27 E 
 -0.031 -0.092 2454973.82595317 154.79 E 
 -0.020 -0.078 2454973.82829289 154.79 E 
 -0.000 -0.070 2454973.82945459 154.79 E 
 -0.029 -0.095 2454973.83430395 154.79 E 
 -0.028 -0.100 2454973.83547306 154.79 E 
 -0.047 -0.110 2454973.83662874 154.79 E 
 -0.023 -0.094 2454973.83778396 154.79 E 
 -0.022 -0.097 2454973.83890930 154.79 E 
  0.001 -0.079 2454973.84005433 154.79 E 
 -0.001 -0.079 2454973.84121349 154.79 E 
 -0.015 -0.105 2454973.84461827 154.79 E 
 -0.007 -0.104 2454973.84656987 154.79 E 
 -0.010 -0.107 2454973.84850306 154.79 E 
 -0.038 -0.108 2454973.85044239 154.79 E 
 -0.019 -0.112 2454973.85230463 154.79 E 
 -0.020 -0.099 2454973.85423852 154.80 E 
 -0.025 -0.095 2454973.85611673 154.80 E 
 -0.025 -0.100 2454973.85825214 154.80 E 
  0.033 -0.070 2454973.86085995 154.80 E 
 -0.014 -0.101 2454973.86280657 154.80 E 
  0.010 -0.090 2454973.86474092 154.80 E 
 -0.020 -0.100 2454973.86667956 154.80 E 
  0.017 -0.082 2454973.86854492 154.80 E 
  0.019 -0.084 2454973.87047765 154.80 E 
  0.038 -0.077 2454973.87235355 154.80 E 
  0.019 -0.084 2454973.87428731 154.80 E 
  0.097 -0.038 2454975.83673787 155.18 E 
  0.068 -0.048 2454975.83904680 155.18 E 
  0.113 -0.013 2454975.84018153 155.18 E 
  0.077 -0.046 2454975.84134531 155.18 E 
  0.035 -0.022 2454975.84249590 155.18 E 
  0.129 -0.031 2454975.84361928 155.19 E 
  0.100 -0.056 2454975.84476570 155.19 E 
 -0.169 -0.101 2454975.86863389 155.19 E 
 -0.108 -0.079 2454975.87298587 155.19 E 
 -0.082 -0.050 2454975.87414178 155.19 E 
 -0.095 -0.091 2454975.87529919 155.19 E 
 -0.128 -0.095 2454975.87871918 155.19 E 
 -0.036 -0.045 2454975.88068797 155.19 E 
 -0.097 -0.068 2454975.88185140 155.19 E 
 -0.086 -0.060 2454975.88300789 155.19 E 
 -0.040 -0.015 2454975.88416334 155.19 E 
 -0.085 -0.071 2454975.88528811 155.19 E 
 -0.135 -0.080 2454975.88645965 155.19 E 
 -0.036 -0.032 2454975.88761313 155.19 E 
 -0.077 -0.073 2454975.88876952 155.19 E 
