  0.354 -0.044 2451462.52513229 121.80 OH
  0.103 -0.166 2451462.55286782 121.84 OH
  0.275 -0.121 2451462.55800208 121.85 OH
  0.246 -0.137 2451462.56314028 121.86 OH
  0.283  0.027 2451462.56827847 121.86 OH
 -0.098  0.020 2451493.40137674 160.11 OH
  0.108  0.018 2451493.40785255 160.12 OH
 -0.166 -0.040 2451493.41458762 160.13 OH
 -0.013 -0.147 2451493.42806852 160.14 OH
 -0.033 -0.202 2451493.44171817 160.15 OH
 -0.135 -0.169 2451493.44729873 160.16 OH
  0.016 -0.100 2451493.45288530 160.17 OH
 -0.002 -0.118 2451493.45846817 160.17 OH
  0.004  0.082 2451512.33279676 181.18 OH
 -0.091 -0.020 2451512.33838275 181.19 OH
 -0.074  0.069 2451512.34396100 181.20 OH
 -0.113  0.004 2451512.34953692 181.20 OH
 -0.009 -0.143 2451512.37155359 181.23 OH
  0.003 -0.041 2451512.38251331 181.24 OH
 -0.122 -0.209 2451512.38809120 181.24 OH
 -0.135 -0.029 2451512.39849144 181.26 OH
 -0.040 -0.117 2451512.40407836 181.26 OH
 -0.145 -0.132 2451512.40965706 181.27 OH
  0.042 -0.008 2451513.29366389 182.27 OH
  0.082 -0.004 2451513.29669016 182.27 OH
  0.033 -0.148 2451513.30424271 182.28 OH
  0.055  0.052 2451513.31097917 182.29 OH
 -0.030 -0.094 2451513.31771910 182.30 OH
  0.012 -0.125 2451513.32446435 182.31 OH
  0.028 -0.092 2451513.33119896 182.31 OH
 -0.015 -0.021 2451513.33793542 182.32 OH
  0.056 -0.071 2451513.34467535 182.33 OH
  0.001 -0.011 2451513.45851921 182.46 OH
  0.012 -0.044 2451513.46641262 182.47 OH
 -0.016  0.075 2451514.31280058 183.44 OH
 -0.131  0.062 2451514.31954595 183.44 OH
 -0.194 -0.049 2451514.32628206 183.45 OH
 -0.112 -0.067 2451514.39125104 183.52 OH
 -0.031 -0.019 2451515.33889421 184.52 OH
 -0.102 -0.105 2451515.34679306 184.53 OH
 -0.098 -0.003 2451515.35469502 184.53 OH
 -0.079 -0.070 2451515.36259236 184.54 OH
 -0.006  0.031 2451515.37049329 184.55 OH
 -0.117 -0.093 2451520.37451921 190.16 OH
 -0.026 -0.113 2451520.38364954 190.17 OH
  0.007 -0.073 2451520.39688090 190.18 OH
  0.123  0.003 2451520.40594317 190.19 OH
  0.020 -0.015 2451520.44878889 190.24 OH
