  0.040 -0.114 2450256.57614583 274.18 PE
  0.110 -0.096 2450256.57935185 274.18 PE
  0.079 -0.077 2450256.59511574 274.19 PE
  0.036 -0.080 2450256.59803241 274.19 PE
  0.220 -0.053 2450290.63438831 285.87 PE
  0.217 -0.115 2450290.63620637 285.88 PE
  0.154 -0.107 2450290.63679572 285.88 PE
  0.268 -0.067 2450290.63740984 285.88 PE
  0.199 -0.085 2450290.63801123 285.88 PE
  0.150 -0.074 2450290.63861389 285.88 PE
  0.099 -0.091 2450290.63921458 285.88 PE
  0.214 -0.071 2450291.60477037 286.24 PE
  0.242 -0.080 2450291.60537234 286.24 PE
  0.195 -0.099 2450291.60597431 286.24 PE
  0.200 -0.155 2450291.60716632 286.24 PE
  0.165 -0.132 2450317.57435475 297.98 PE
  0.143 -0.113 2450317.57510949 297.98 PE
  0.144 -0.066 2450317.59525822 297.99 PE
  0.178 -0.118 2450317.59598796 297.99 PE
  0.463  0.086 2450674.60453704 159.95 PE
  0.574  0.084 2450674.60776620 159.95 PE
  0.513  0.056 2450674.71699074 159.96 PE
  0.434  0.048 2450674.72021991 159.96 PE
  0.611  0.057 2450675.61828704 160.14 PE
  0.457  0.043 2450675.62152778 160.14 PE
  0.393  0.046 2450675.70939815 160.16 PE
  0.512  0.084 2450675.71262731 160.16 PE
  0.333 -0.112 2454729.52290208 229.41 PE
  0.197 -0.097 2454729.52687025 229.41 PE
  0.126 -0.067 2454729.53084861 229.42 PE
  0.322 -0.135 2454729.53579074 229.42 PE
  0.204 -0.173 2454729.53976898 229.43 PE
  0.329 -0.016 2454733.50266019 229.94 PE
  0.281 -0.038 2454733.50607350 229.94 PE
  0.221 -0.017 2454733.50948588 229.94 PE
  0.233 -0.059 2454733.51289861 229.94 PE
  0.250 -0.041 2454733.51631192 229.94 PE
  0.381 -0.001 2455032.80295741  33.29 BC
  0.256 -0.033 2455032.80728218  33.29 BC
  0.381 -0.008 2455032.80905799  33.29 BC
  0.314 -0.035 2455032.81083391  33.30 BC
