-33.271111  -70.531111 1370.0 Observatoire_Santa_Martina_PUC/Santiago?_
-31.800000  -69.300000 2552.0 El_Leoncito_San_Juan
-31.786778  -69.306806 2664.8 Alianza_S4_Cerro_Burek_I08_(JPL)
-22.534361  -45.579194 1830.0 Itajuba
-23.566667  -47.200000  900.0 Marinque
-19.824167  -43.690278 1500.0 Wykrota_Bresil_(Dennis_Weaver_20/4/05)
-19.830278  -43.997500  825.0 CEAMIG-REA_Bresil_(Dennis_Weaver_20/4/05)
 -3.737917  -38.507222    0.0 Fortaleza
-32.379444   20.810694 1760.0 SAAO_Sutherland_(1-m)
-32.499560   19.252677  873.1 Cederberg_
-28.705197   18.553103  515.0 Sandfontein_
-23.236111   16.361667 1881.0 Hakos_
-22.698473   17.108902 1920.0 Windhoek_Sonja's_farm
-21.199167   55.409722  976.0 Les_Makes_La_Reunion
+37.068333   -3.400000 2870.0 Pico_Veleta
-31.800000  -69.300000 2552.0 El_Leoncito_San_Juan
+31.044167 -115.463611 2830.0 San_Pedro_Martir_(ref?)
 -0.522739  166.930794   30.0 Nauru
 +8.965242  167.609464    0.0 Kwajalein
 +7.116503  171.185617    0.0 Majuro
+10.360147  123.859214  450.0 Cebu_Philippines
+20.878333 -156.682444    0.0 Lahaina_Maui
+21.970831 -159.714989    0.0 Kekaha_Kaui
-18.034833  122.244936    0.0 Broome
-12.460642  130.843197    0.0 Darwin
-16.953958  145.679425    0.0 Cairns
-19.373250  146.695783    0.0 Townsville
-21.198403  149.106033    0.0 Mackay
-24.920344  152.262292    0.0 Bundaberg
-27.502522  153.037494    0.0 Brisbane
-23.700142  133.905006    0.0 Alice_Springs
-20.572450  139.566669    0.0 Mount_Lisa
-23.353761  119.735386    0.0 Newman
